"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify DELETE /posts/{id} removes post successfully","87","deletePost","Surefire suite","Mon Jul 28 23:16:24 UTC 2025","passed","Mon Jul 28 23:16:24 UTC 2025","api.PostsTest","Surefire test","api.PostsTest","deletePost"
"Verify GET /users/{id} returns specific user details","67","getUserById","Surefire suite","Mon Jul 28 23:16:25 UTC 2025","passed","Mon Jul 28 23:16:25 UTC 2025","api.UsersTest","Surefire test","api.UsersTest","getUserById"
"Verify POST /posts creates new post successfully","1852","createPost","Surefire suite","Mon Jul 28 23:16:22 UTC 2025","passed","Mon Jul 28 23:16:24 UTC 2025","api.PostsTest","Surefire test","api.PostsTest","createPost"
"Verify GET /posts/{id}/comments returns comments for specific post","98","getCommentsForPost","Surefire suite","Mon Jul 28 23:16:25 UTC 2025","passed","Mon Jul 28 23:16:26 UTC 2025","api.CommentsTest","Surefire test","api.CommentsTest","getCommentsForPost"
"Verify PUT /posts/{id} updates existing post successfully","137","updatePost","Surefire suite","Mon Jul 28 23:16:25 UTC 2025","passed","Mon Jul 28 23:16:25 UTC 2025","api.PostsTest","Surefire test","api.PostsTest","updatePost"
"Verify GET /posts/{id} returns specific post with correct data","63","getPostById","Surefire suite","Mon Jul 28 23:16:25 UTC 2025","passed","Mon Jul 28 23:16:25 UTC 2025","api.PostsTest","Surefire test","api.PostsTest","getPostById"
"Verify GET /users returns all users and validates the response","81","getAllUsers","Surefire suite","Mon Jul 28 23:16:25 UTC 2025","passed","Mon Jul 28 23:16:25 UTC 2025","api.UsersTest","Surefire test","api.UsersTest","getAllUsers"
"Verify DELETE /users/{id} removes post successfully","118","deleteUser","Surefire suite","Mon Jul 28 23:16:25 UTC 2025","passed","Mon Jul 28 23:16:25 UTC 2025","api.UsersTest","Surefire test","api.UsersTest","deleteUser"
"Verify GET /posts returns all posts and validates the response","193","getAllPosts","Surefire suite","Mon Jul 28 23:16:24 UTC 2025","passed","Mon Jul 28 23:16:25 UTC 2025","api.PostsTest","Surefire test","api.PostsTest","getAllPosts"
"Verify POST /comments creates new comment successfully","77","createComment","Surefire suite","Mon Jul 28 23:16:25 UTC 2025","passed","Mon Jul 28 23:16:25 UTC 2025","api.CommentsTest","Surefire test","api.CommentsTest","createComment"
"Verify GET /comments returns all comments","193","getAllComments","Surefire suite","Mon Jul 28 23:16:25 UTC 2025","passed","Mon Jul 28 23:16:25 UTC 2025","api.CommentsTest","Surefire test","api.CommentsTest","getAllComments"
